name,response,confidence_no_fp,exp_url,source,scope,expected_countries,notes
dns_isp_id_sehat_idnic_2,203.119.13.76,10,https://explorer.ooni.org/measurement/20200130T121354Z_AS18103_6roxhkcpVP4ML3VyjL75G28deYvsJgocbDyeV8Ud6WBHAFTwy4?input=http://www.bglad.com/,['https://www.idnic.id/'],isp,['ID'],Indonesian NIC blockpage
dns_isp_id_sehat_iforte,trustpositif.iforte.net.id,10,https://explorer.ooni.org/measurement/20190924T072134Z_AS17995_Seinciq0527hnzfIuN4ZQvKYqy8NKBKGHK9vt01KkY79iofutj?input=http://www.gayhealth.com/,['https://www.iforte.id/'],isp,['ID'],Indonesian ISP iForte blockpage. Matches a CNAME record IP was 202.51.96.7
dns_isp_id_sehat_jlm_negatif,150.107.140.200,10,,['https://jlm.net.id/'],isp,['ID'],Indonesian ISP JLM DNS filtering (Negatif Konten)
dns_isp_id_sehat_lintasarta,202.152.4.67,10,https://explorer.ooni.org/measurement/20190605T140849Z_AS4800_bKVUk4pjoLXBQOUdWBLnQOPZfWfDPGCSoURwopRoEj0O4ZjOKG?input=http://www.tsroadmap.com/,['https://www.lintasarta.net/'],isp,['ID'],Indonesian Business ISP Lintasarta blockpage
dns_isp_id_sehat_ltn,103.126.10.252,10,,['http://www.ltn.co.id/'],isp,['ID'],Indonesian ISP Lintas Telematika Nusantara blockpage
dns_isp_id_sehat_melsa,filter.melsa.net.id,10,https://explorer.ooni.org/measurement/20181006T114052Z_AS9657_yU1pa9b0I0vRzcBU5OsWOV6phrI2FBxQosem0mJRQdKZupCPkE?input=http://www.bglad.com,['https://www.melsa.id/'],isp,['ID'],Indonesian ISP Melsa blockpage. Matches the CNAME record IP was 202.138.224.15
dns_isp_id_sehat_mncplay,internetpositif.mncplaymedia.com,10,https://explorer.ooni.org/measurement/20180727T095622Z_AS17670_ryQ3v3ZDI2X8YI7FKTxeG9L5PEmgc0Z5N3bDIU7uusFaaIcuql?input=http://www.bglad.com,['https://www.mncplay.id/en/'],isp,['ID'],Indonesian ISP MNC Play Media blockpage. Based on CNAME record although the IP address was 110.50.83.31 when seen.
dns_isp_id_sehat_myrepublic,158.140.186.3,10,https://explorer.ooni.org/measurement/20180601T040605Z_AS63859_uzo47992c80YC59mVTgn649d8nTkGPtm3Z8TZ69jdWAmMMMkCb?input=http://www.samesexmarriage.ca,['https://myrepublic.co.id/'],isp,['ID'],Indonesian ISP MyRepublic blockpage
dns_isp_id_sehat_myrepublic_block,103.47.132.195,10,https://explorer.ooni.org/measurement/20170916T151028Z_AS63859_OMzXkgk31oMZMCyxyswHDc9s7PcHYUDMAm8BEsKSmcioamnK0f?input=http://www.gayscape.com,['https://myrepublic.co.id/'],isp,['ID'],Indonesian ISP My Republic
dns_isp_id_sehat_netsafeindosat_1,netsafe.indosatm2.com,10,https://explorer.ooni.org/measurement/20170330T110102Z_AS4795_yod1sqqu9NwrIBlJDfMepLmyAp3zVxQK5QG6Qqux11QuioLrYJ?input=https://www.gay.com/,['http://indosatm2.com/'],isp,['ID'],Indonesian ISP Indosat Netsafe blockpage. This is based off the CNAME record but was seen on IP 124.81.92.132
dns_isp_id_sehat_netsafeindosat_2,114.6.128.8,10,https://explorer.ooni.org/measurement/20170608T035018Z_AS4761_HEJ2bT3U6QBEL4IdHLTPpWshehej9EcxiwssgeMxRTlBLQeLJx?input=http://www.glil.org,['http://indosatm2.com/'],isp,['ID'],Indonesian ISP Indosat Netsafe blockpage
dns_isp_id_sehat_nusanet,150.107.151.151,10,,['https://www.nusa.net.id/'],isp,['ID'],Indonesian ISP Nusa Net blockpage
dns_isp_id_sehat_ptcentrin,block.centrin.net.id,10,https://explorer.ooni.org/measurement/20190314T214950Z_AS17658_kybYxwcXIxWZYnX32z36B1ZprSLxFT3WpxY0g7sfuy0Uy7MLAo?input=https://www.ilga-europe.org/,['http://www.centrin.net.id/'],isp,['ID'],"Indonesian ISP PT Centrin Online blockpage. Matches the CNAME record, the IP was 202.146.255.7"
dns_isp_id_sehat_smartfren,internetsehat.smartfren.com,10,https://explorer.ooni.org/measurement/20191225T231001Z_AS18004_hA8xsVHcbUOLZLKxI8kAQ2GV3yzQ8TpDNqUpHA1Sm3Mdb3yYVB?input=http://www.samesexmarriage.ca/,['https://www.smartfren.com/'],isp,['ID'],Indonesian ISP Smartfren blockpage.
dns_isp_id_sehat_starcom,202.50.202.50,10,,['https://www.starcoms.net/'],isp,['ID'],Indonesian ISP Starcom blockpage
dns_isp_id_sehat_starnet_dark,113.197.108.236,10,https://explorer.ooni.org/measurement/20170620T000111Z_AS0_5is0TiDSWSWQSmW01Yc1B4kQFQsMmPhLT2vKSqFsVhuYzbPYvd?input=http://www.gayscape.com,['http://megavision.net.id/'],isp,['ID'],Indonesian ISP Starnet DNS filtering (dark variant)
dns_isp_id_sehat_starnet_light,103.14.16.18,10,https://explorer.ooni.org/measurement/20181006T114052Z_AS9657_yU1pa9b0I0vRzcBU5OsWOV6phrI2FBxQosem0mJRQdKZupCPkE?input=http://bisexual.org/,['http://megavision.net.id/'],isp,['ID'],Indonesian ISP Starnet DNS filtering (light variant)
dns_isp_id_sehat_sumberdata,103.10.120.3,10,,['http://www.sumberdata.co.id/'],isp,['ID'],Indonesian ISP Sumber Data blockpage
dns_isp_id_sehat_telkom_bltsel_cname,mypage.blocked.bltsel,10,https://explorer.ooni.org/measurement/20191114T004142Z_AS17974_zSo1qO4rG5Isd8Rr2WGTHYV4hwK9jeGkR201ACNu7np3CxXqOQ?input=http://ilga.org/,['https://uzone.id/'],isp,['ID'],Indonesian ISP Telkom blockpage. This is to match against the variant where Telkomsel DNS reply to this CNAME and was on IP 114.121.254.4
dns_isp_id_sehat_telkom_bltsel_ip,114.121.254.4,10,https://explorer.ooni.org/measurement/20191114T004142Z_AS17974_zSo1qO4rG5Isd8Rr2WGTHYV4hwK9jeGkR201ACNu7np3CxXqOQ?input=http://ilga.org/,['https://uzone.id/'],isp,['ID'],Indonesian ISP Telkom blockpage. This is to match against the variant where Telkomsel DNS reply to CNAME mypage.blocked.bltsel and IP 114.121.254.4
dns_isp_id_sehat_telkom_uzone,36.86.63.185,10,https://explorer.ooni.org/measurement/20171025T095349Z_AS131709_vvCnDreaVjMN1MQ2imNyl4ynBG4EhIZRdWHJIBKgOexJSnaWcb?input=http://www.bglad.com,['https://uzone.id/'],isp,['ID'],Indonesian ISP Telkom Uzone sehat blockpage
dns_isp_id_sehat_telkom_uzone_mercusuar,internet-positif.org,10,https://explorer.ooni.org/measurement/20191114T004142Z_AS17974_zSo1qO4rG5Isd8Rr2WGTHYV4hwK9jeGkR201ACNu7np3CxXqOQ?input=http://ilga.org/,['https://uzone.id/'],isp,['ID'],Indonesian ISP Telkom Uzone sehat blockpage. Mercusuar (lighthouse) is a branding of Telkomsel's Uzone. This matches the CNAME record but IP was 118.97.116.27 at the time observed.
dns_isp_id_sehat_telkomsel_baik,202.3.219.209,10,https://explorer.ooni.org/measurement/20170316T024318Z_AS23693_CQPxlyILeqGXlHzFqGSCPR6MgtCBfZtbs3h2l37MOyiU77N1xP?input=http://www.bglad.com,['http://telkomsel.com/'],isp,['ID'],Indonesian ISP Telkomsel Internet Baik sehat blockpage
dns_isp_id_sehat_transhybrid_1,58.147.184.141,10,,['https://transhybrid.net.id/'],isp,['ID'],Indonesian ISP Trans Hybrid blockpage
dns_isp_id_sehat_transhybrid_2,58.147.185.131,10,,['https://transhybrid.net.id/'],isp,['ID'],Indonesian ISP Trans Hybrid blockpage
dns_isp_id_sehat_tri_blockpage,180.214.232.61,10,https://explorer.ooni.org/measurement/20170307T194134Z_AS45727_gEN976jgNQgOx6CuLiiYDb2flPY8CpNtRPcnrHTwjggcats4At?input=http://www.gay.com,['https://tri.co.id/'],isp,['ID'],Indonesian ISP Tri sehat blockpage.
dns_isp_id_sehat_tri_cname,restricted.tri.co.id,10,https://explorer.ooni.org/measurement/20200329T090119Z_AS45727_GqQe4DZduLsSaYZB6qnqeMpsNgJn7dTvEaoEFZ0eGGmjyBoQG4?input=https://www.scruff.com/,['https://tri.co.id/'],isp,['ID'],"Indonesian ISP Tri blockpage, matches on the CNAME"
dns_isp_id_sehat_tri_ip,116.206.10.31,10,https://explorer.ooni.org/measurement/20200329T090119Z_AS45727_GqQe4DZduLsSaYZB6qnqeMpsNgJn7dTvEaoEFZ0eGGmjyBoQG4?input=https://www.scruff.com/,['https://tri.co.id/'],isp,['ID'],"Indonesian ISP Tri blockpage, matches on the IP"
dns_isp_id_sehat_utaramedia,103.142.60.250,10,,['https://utaramedia.net/'],isp,['ID'],Indonesian ISP Utara Internet blockpage
dns_isp_id_sehat_varnion_1,202.56.160.131,10,https://explorer.ooni.org/measurement/20180119T081053Z_AS45287_NWeT8zKRcKd7z2WYMntHuw2GIwqK0zCAh0A5UnvxzKw4s9rN0u?input=http://www.gayhealth.com,['https://www.varnion.com/'],isp,['ID'],Indonesian ISP (caters to hospitality industry) Varnion blockpage. Note: Does a very weird round robin with a local hostname (just filter)
dns_isp_id_sehat_varnion_2,202.56.160.132,10,https://explorer.ooni.org/measurement/20180119T081053Z_AS45287_NWeT8zKRcKd7z2WYMntHuw2GIwqK0zCAh0A5UnvxzKw4s9rN0u?input=http://www.gayhealth.com,['https://www.varnion.com/'],isp,['ID'],Indonesian ISP (caters to hospitality industry) Varnion blockpage. Note: Does a very weird round robin with a local hostname (just filter)
dns_isp_id_sehat_varnion_3,203.99.130.131,10,https://explorer.ooni.org/measurement/20180224T051609Z_AS45287_IoqMH28cD0RwJsIYHmj0rMDUt8oigefrA7YweS4lZ0ahxrDrDy?input=http://www.gay.com/,['https://www.varnion.com/'],isp,['ID'],Indonesian ISP (caters to hospitality industry) Varnion blockpage. Note: Does a very weird round robin with a local hostname (just filter)
dns_isp_id_sehat_winetmedia,103.70.68.68,10,,['http://winetmedia.net/id/'],isp,['ID'],Indonesian ISP Winnet Media blockpage
